analysis_subset,id,text,context_share_aggressive_reduction,context_share_balanced_guardrail,context_share_baseline,identity_share_aggressive_reduction,identity_share_balanced_guardrail,identity_share_baseline,aggressive_identity_delta,aggressive_context_delta
common_correct_identity_hateful,10227153_gab,looks to me like some social activists might have been there fanning the flames well starting the fire then maintaining it whatever happened to law and order most tax payers would not disagree with rubber bullets tear gas and water cannons being deployed on this mixed bag of muzzies and blacks,0.0070862890837583,0.0091754951172907,0.0127587736641202,0.3580356379122527,0.3356087592990974,0.330842642943993,0.027192994968259665,-0.005672484580361901
common_correct_identity_hateful,10600154_gab,i am sick of a <number> white country not killing niggers jews in the damn streets,0.0,0.0,0.0,0.5868608253431914,0.7274734665185532,0.7266377365436736,-0.1397769112004822,0.0
common_correct_identity_hateful,10651361_gab,pretty sure he fought the confederacy pretty sure your party uses lincolns name to endear coon black folks like <user> and <user> to your party while at the same time celebrating the people who fought him and killed him lol,0.0,0.0,0.0,0.3781256597480798,0.4863142935889395,0.6502379570722842,-0.27211229732420433,0.0
common_correct_identity_hateful,10824649_gab,sucking all the msm dick eh curry nigger race traitor tell em how you are really an sjw who sides with sadiq khan mayor of londonstan and believe curries and sand niggers should steal whyte wymn and destroy the white race gabfam speakfreely tell em how you censor downvotes profitmonger,0.0248378824463296,0.0024598128959443,0.0085810953456948,0.3263433879662856,0.3936887533434415,0.4602832595582184,-0.13393987159193282,0.0162567871006348
common_correct_identity_hateful,10888406_gab,pro tip the niggers do not care if you never owned slaves granddaddy fought the natzis or great great grandad ground the confederacy into dust with the boot heel of the proto bolshevik yankee gubment force of weight and arms behind it they hate you because you are white and you exist altright,0.0009084554451185,0.0113704619046167,0.0085386538494923,0.2291978361322069,0.2551444600930891,0.2504591133394454,-0.021261277207238527,-0.0076301984043737996
common_correct_identity_hateful,1100389613074558976_twitter,<user> not low class they enjoy to get fucked by muslims,0.0,0.0,0.0,0.1820627738669456,0.1295069746000189,0.0382177723025502,0.14384500156439542,0.0
common_correct_identity_hateful,11004916_gab,and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,0.0634621403458412,0.0555761487904148,0.0478007009922521,0.1700770503325514,0.2254623765514453,0.2454430867144018,-0.07536603638185038,0.0156614393535891
common_correct_identity_hateful,11080346_gab,a mudshark is a white woman who is only attracted to black men a thot is a whore every mudshark is a thot but not every thot is a mudshark,0.0,0.0,0.0,0.0667024532083652,0.0612459017628955,0.0745689561914709,-0.007866502983105705,0.0
common_correct_identity_hateful,1116531316508495872_twitter,<user> safe and affordable killing of helpless babies just what a muslim wants one less infidel to kill or convert,0.0288707503510208,0.0198938822378228,0.0578126733529126,0.1996384721820853,0.2669291065715249,0.1163600225969042,0.0832784495851811,-0.028941923001891797
common_correct_identity_hateful,1177671086139478016_twitter,i hate arabs,0.0241972098255888,0.2028865824655656,0.0640888610283054,0.3812659263476031,0.3935076783317847,0.5312983601371317,-0.15003243378952863,-0.039891651202716594
common_correct_identity_hateful,1178606198809141249_twitter,pope is asian you fucking dumb nigger,0.0,0.0,0.0,0.303877311566037,0.5234953296230669,0.6611868411351882,-0.35730952956915124,0.0
common_correct_identity_hateful,1178656914567258112_twitter,anime culture has created a new generation of weeboos where black and white kids gonna have ching chong names cuz their stupid ass parents like ching chong cartoons,0.0,0.0,0.0,0.3508010700665873,0.2681964204915792,0.3564455673362993,-0.005644497269712001,0.0
common_correct_identity_hateful,1178759746683146240_twitter,<user> alot of people just dont say it but she is not the only white nigger to think this way she is just another white nigger impowerd by trump to show her stupid way of thinking white niggers are the worst,0.0,0.0,0.0,0.3143097057520237,0.3731089995140865,0.5960864654756076,-0.2817767597235839,0.0
common_identity_fp_all_models,10318118_gab,clapton told the crowd that england had become overcrowded vote for powell to stop britain from becoming a black colony that britain should get the foreigners out get the wogs out get the coons out then repeatedly shouted the national front slogan keep britain white prophetic,0.0,0.0,0.0,0.1112057315921901,0.2359135307898933,0.3624264693438824,-0.2512207377516923,0.0
common_identity_fp_all_models,10979482_gab,wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,0.0296246340528587,0.0789284608923387,0.0787815928404276,0.1710537427865531,0.2162641333798453,0.3012110944316057,-0.1301573516450526,-0.0491569587875689
common_identity_fp_all_models,11678017_gab,in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,0.0,0.0,0.0,0.4512051655254214,0.4399316704272878,0.4891966147007782,-0.037991449175356795,0.0
common_identity_fp_all_models,1178821631797538822_twitter,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,0.0172286722459278,0.0178105264608048,0.0239722547439965,0.3969359066937991,0.5162900302511011,0.473937911541012,-0.07700200484721292,-0.006743582498068702
common_identity_fp_all_models,1178832944707915776_twitter,no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,0.0,0.0,0.0,0.4816373048634995,0.599273061714513,0.6773576692101341,-0.1957203643466346,0.0
common_identity_fp_all_models,1178981039353581568_twitter,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,0.0,0.0,0.0,0.0451029775670439,0.079236846103653,0.0200790252038084,0.0250239523632355,0.0
common_identity_fp_all_models,1213875760420794368_twitter,<user> yet colin nike exploits asians at an alarming rate i hate graham and the cult45 but i agree with him on this,0.0454383909569545,0.0347597840902,0.0156000827714768,0.0114216257948449,0.1315201608345186,0.081906064903178,-0.0704844391083331,0.029838308185477697
common_identity_fp_all_models,1226925254062362627_twitter,us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,0.0,0.0,0.0,0.3605319706628154,0.3151236988512166,0.4298140343268148,-0.06928206366399942,0.0
common_identity_fp_all_models,12597139_gab,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,0.0120913620693773,0.005037870252648,0.0098134830656087,0.1729770046784222,0.22423565005903,0.2285115733635866,-0.055534568685164404,0.0022778790037686
common_identity_fp_all_models,15879649_gab,andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,0.0192493228670058,0.0015575854418852,0.0009565870324759,0.1943781157737782,0.214896853922651,0.2318175149504037,-0.037439399176625504,0.0182927358345299
