model,id,text,term_groups,prob_hateful
baseline,6661295_gab,once racemixing became alluring purely because about <number> of japanese women are not sluts white nationalism became seriously dis alluring i hear <number> of rural russian women are not sluts though so that makes me a russian nationalist woohoo,"white,women",0.015101806
baseline,6165500_gab,<number> year old black man charged with raping a <number> year old child in al it no secret why the black man loves islam because that moo haamed guy tells me i gots to gets me a <number> year old maga <user> <user>,"black,muslim",0.19433732
baseline,1178732930614595584_twitter,lmfao the passenger in they car is trying to file another claim in they neck and back 😭 😭 😭 😭 u niggers are so predictable make me sick,black,0.24338579
baseline,24190945_gab,yah christian island republic shall not have queers or witches on it if we find any death,gay_lgbt,0.16748887
baseline,11012135_gab,all you so called jewish people and asians you actually white supremes,"immigrant_nationality,jewish,white",0.01891712
baseline,16392501_gab,these guys r more interested in placating a mob than in free speech <user> kessler <number> c ville city council he stood up <number> white people called the shouters the anti white kk <happy> city council mbr he close <number> hate speech scattered sheboon outbursts w heavy ebonics downpour thru out,white,0.44214553
baseline,25995789_gab,do dykes keep their nails short,gay_lgbt,0.40466127
baseline,23082971_gab,have just another rabbit running on facebook under the honey badge guise this one is a little rocket wicked fun making jews dance the homo paedo dave slatfascists is unable to find me on facebook,jewish,0.24497075
baseline,17012100_gab,saw the new star whores movie this is my review a long long time ago in a ghetto far far away it is a period of cibil rights nigga rocketships striking from dey hood dey have won dey first victory against the ebil cracka empire,black,0.008808856
baseline,26165493_gab,its just how it is baby there must be a balance too much crazy fools and we up shit creek so we got a big ass iron hammer to crack all yall queers open wit,gay_lgbt,0.09753198
baseline,1177977240996499457_twitter,you niggas faggots putting you all hands on females,"black,gay_lgbt,women",0.1321602
baseline,2183555_gab,testing are you allowed to say nigger on here,black,0.48970586
baseline,1088243265210671104_twitter,you niggas is fake asl that ’ why you don ’ t see none round me,black,0.0041248165
baseline,16144576_gab,the civil rights movement was nothing more than a communist push for special rights for non whites via jewish legal teams capitalizing off media influenced white guilt and misplaced altruism that would change the face of america into what it is today,"jewish,white",0.014896356
baseline,5644395_gab,we have a very low quality of homo these days and that is because they are allowed to gallivant in plein air the closet makes the queer,gay_lgbt,0.08034534
baseline,22425202_gab,march for our lives protesters trash streets of d.c. after gun control march similar to environmental protests compare to conservative dan bake sale that left streets spic and span after <number> gathered in fort collins,immigrant_nationality,0.0048103095
baseline,1261415275934539776_twitter,<user> niggas in london forget they just children of islander immigrants just like toronto niggas lmfao,"black,immigrant_nationality",0.0031494987
baseline,1261659830709678086_twitter,<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs,women,0.016237732
baseline,1086417563444232194_twitter,<user> let be honest multiculturalism is just a euphemism for hostile takeover by jews and non whites,"jewish,white",0.020345757
baseline,16787150_gab,ricky i very much wish this could be a possibility in the us however the data since the <number> until today proves that blacks jews mestizos and asians vote overwhelmingly for democrats non whites vote overwhelmingly for less freedom bigger govt and more gibs me dat please explain,"black,immigrant_nationality,jewish,white",0.041525275
baseline,15909380_gab,socialist dictator socialist feminist son of a whore space cadet spoiled bitch stuttering barky stuttering clusterfuck the brown clown the choom gangster in chief the color muslim the community agitator the crony elitist presy the drama king the execuitve infant the face of evil,muslim,0.39985892
baseline,11135587_gab,what an absolutely beautiful video this is germany under hitler was as close to paradise as the beleagurd goyim shall ever see the jews won ww1 and ww2 the jews are now orchestrating ww3 godspeed my friends i love u,jewish,0.07537919
baseline,1179007711721279488_twitter,<user> the same people who defend a woman right to post ass pics on instagram are the same to try and push them out of a job and suddenly say it degrading to them will you ugly dykes pick something to be offended by and stick with it,"gay_lgbt,women",0.03302725
baseline,1208041861035778048_twitter,<user> i hate caucasians,immigrant_nationality,0.20564969
baseline,13979518_gab,p at least harvey weinstein only raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a good jew 😂,jewish,0.008504489
baseline,1267057_gab,<user> talmud according to jews is just men commentary qur an according to muslims is literally the word of allah god we have to attack the qur an first because jews are not flying into buildings killing people plus is obvious no god would make so many mistakes as shown in qur an,"jewish,muslim",0.36893243
baseline,1097012359481053185_twitter,<user> what if the sugar gramp was a ss soilder who killed hundreds of jews but is a multi billionaire 🤔,jewish,0.31009147
baseline,1142982217892814854_twitter,<user> <user> women can not be wise estrogen makes them retarded,"disability,women",0.04835848
baseline,1268483283228082177_twitter,<user> <user> import3d terrorists and embedded muslim brotherhood stop rioting and looting,muslim,0.050654575
baseline,17504345_gab,it not just mainstream media i do not like the argument that many people on gab or any where on the interenet have yo my neighborhood had a bunch of asians and blacks moving in i moved cause i did not want to deal with that that not genocide,"black,immigrant_nationality",0.34104753
baseline,7894283_gab,there is a yid involved in very single breaking story out of the white house it interesting that jews are over represented in our government but can somehow avoid blame for any failures in governance it as if the media is somehow colluding to absolve them of any guilt,"jewish,white",0.16527157
baseline,1104959890693517312_twitter,<user> oh boy you are a retard but can be chill you remind me of the kid we used to fuck in the locker room before gym,disability,0.014829085
baseline,20531142_gab,i am starting to think it the jews 👀,jewish,0.12010733
baseline,4545816_gab,imagine if someone wrote a <number> page racial history of jews white interactions in europe and casually noticed that millions of jews had been baptized and became faithful productive citizens that reversed is what i hold e michael jones has done teamwhite,"jewish,white",0.010506958
balanced_guardrail,1103385226921762816_twitter,<user> <user> well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,"jewish,muslim",0.017802488
balanced_guardrail,16355936_gab,america is supposed to be home to free speech except there is one problem most of the platforms are privately owned by jews and the jews could not care less about your free speech wake up white people the jews control what you see and hear be vigilant,"jewish,white",0.38264424
balanced_guardrail,8198864_gab,hillary clinton with dyke roomie back in the latter <number> still a rotten bitch today,gay_lgbt,0.13182127
balanced_guardrail,4587876_gab,i go to public beaches and see beautiful young women it tiny swimsuits and yet somehow i have managed to never rape anyone that the difference between americans and islamists apparently,"muslim,women",0.062030245
balanced_guardrail,1178837672699269126_twitter,dababy security explaining why he knocked out that dyke should not be as funny as it is,gay_lgbt,0.16484798
balanced_guardrail,4037364_gab,<user> aloha akbatman she not the immigrant we need or the immigrant we want but she the immigrant we have got so let beat her because she can take it,immigrant_nationality,0.07844644
balanced_guardrail,16883713_gab,when america was white no ghettos no handouts almost no taxes no men of color trying to have sex with your <number> year old daughter almost no crime the left says the white communities must die out,white,0.111896954
balanced_guardrail,16908788_gab,you can not culturally enrich a moslem,muslim,0.1526789
balanced_guardrail,6070354_gab,whatever crypto infiltrator u are yeah but ur pro zionist are not u definition of jew believes in and pushes holocaust hoax as well as pushes <number> <number> was done by arabs story,jewish,0.09552606
balanced_guardrail,1178110624905224192_twitter,shoutout to all the dykes out here still fucking niggas,"black,gay_lgbt",0.02788064
balanced_guardrail,6653253_gab,if money was grown on trees women would be dating monkeys oh wait never mind,women,0.12709582
balanced_guardrail,17574897_gab,diversity is a code word for white genocide,white,0.20864767
balanced_guardrail,12803910_gab,wow you think race has nothing to do with it why do we have all these ghettos in america you think race does not dictate behavior you really think these immigrants come here because they want to adopt your white american heritage why are they tearing your monuments down,"immigrant_nationality,white",0.057391204
balanced_guardrail,19952772_gab,if we are being brutally honest here i am not pro because <user> is a scumbag piece of shit aziz anzari type arrogant entitled shitskin and i would not piss on him to put out a fire so mr torba gets nothing from me until he gone,other_trigger,0.36997142
balanced_guardrail,1076653388232704000_twitter,a nigga have a baby on me i swear i ’ ll take out the whole family sorry not sorry 😋 🗡,black,0.004292869
balanced_guardrail,10783839_gab,ideally yes when push comes to shove id rather live in a white run city country we already know what a planet of apes scenario looks like baltimore chicago philly detroit and every suburban mall failing to shoo flies,white,0.011960321
balanced_guardrail,1967858_gab,i find when i tell liberals about what is happening in europe with refugees and islamic invasion and how women girls m as well as young boys gays lgbt and everyone native in that country are being assaulted raped and abused it is very effective at turning liberals red trump pizzagate,"muslim,women",0.06474663
balanced_guardrail,27386050_gab,wherever trump goes there is love peace and happiness except for israel only jews would kill around <number> people in his presence,jewish,0.37711725
balanced_guardrail,1250295032092823564_twitter,<user> i am sorry isabelle but you are fucking retarded,disability,0.05134548
balanced_guardrail,1252162171603124225_twitter,<user> <user> not migrants these are illegal immigrants which makes them criminals either lock them up or deport them,immigrant_nationality,0.040710397
balanced_guardrail,2449943_gab,<user> in every country where muzzies are in minority the want minority rights in every country where muzzie are majority there are no minority rights,muslim,0.16874275
balanced_guardrail,12042275_gab,see how lefties turn on their poster girl aung san suu kyi mynarmar cos she will not bend to dhimmi traitor politicians un by appeasing moslems unhcr head is a moslem screams genocide irony yet mentions nothing of ongoing moslem genocide of christians in middle east me says go for it aung,"muslim,women",0.22808716
balanced_guardrail,1178866509139103744_twitter,i have been communication banned twice in the past month for calling kids faggots on rb6 when my teammates kill me for no reason kids really can not handle this shit nowadays,gay_lgbt,0.04182944
balanced_guardrail,1178723245211734016_twitter,<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,white,0.027355801
balanced_guardrail,17030440_gab,iran our women and children are being raped murdered and stabbed by invading barbarians and we are worried about muh democracy in iran wtf iranprotests,women,0.13832274
balanced_guardrail,1179082312123916292_twitter,i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,disability,0.006830518
balanced_guardrail,17187669_gab,online nazi haha guys the left can not meme <number> white privilege diversity is our strength race is just skin color the holocaust racist sexist bigot homophobe islamophobe anti semite,"muslim,white",0.033592463
balanced_guardrail,1179105444096348165_twitter,do not call me a nigger i am white,"black,white",0.08615972
balanced_guardrail,10482092_gab,squadron leader gibson raf won a vc on the dam buster raid he had a labrador called nigger they told us not to call them that anymore so we called them gibson dog or gibson for short,black,0.29264027
balanced_guardrail,1178794715056967680_twitter,no such thing as lesbophobia you dumb ass dykes,gay_lgbt,0.31147245
balanced_guardrail,1178696589059198976_twitter,true life i have been randomly saying i do not fw you niggers i own the clippers for <number> days now,black,0.03813541
balanced_guardrail,6661295_gab,once racemixing became alluring purely because about <number> of japanese women are not sluts white nationalism became seriously dis alluring i hear <number> of rural russian women are not sluts though so that makes me a russian nationalist woohoo,"white,women",0.09102277
balanced_guardrail,6165500_gab,<number> year old black man charged with raping a <number> year old child in al it no secret why the black man loves islam because that moo haamed guy tells me i gots to gets me a <number> year old maga <user> <user>,"black,muslim",0.037870303
balanced_guardrail,1178732930614595584_twitter,lmfao the passenger in they car is trying to file another claim in they neck and back 😭 😭 😭 😭 u niggers are so predictable make me sick,black,0.038476907
balanced_guardrail,24190945_gab,yah christian island republic shall not have queers or witches on it if we find any death,gay_lgbt,0.13073191
balanced_guardrail,11012135_gab,all you so called jewish people and asians you actually white supremes,"immigrant_nationality,jewish,white",0.045087438
balanced_guardrail,16392501_gab,these guys r more interested in placating a mob than in free speech <user> kessler <number> c ville city council he stood up <number> white people called the shouters the anti white kk <happy> city council mbr he close <number> hate speech scattered sheboon outbursts w heavy ebonics downpour thru out,white,0.36312374
balanced_guardrail,25995789_gab,do dykes keep their nails short,gay_lgbt,0.42341474
balanced_guardrail,23082971_gab,have just another rabbit running on facebook under the honey badge guise this one is a little rocket wicked fun making jews dance the homo paedo dave slatfascists is unable to find me on facebook,jewish,0.037038248
balanced_guardrail,17012100_gab,saw the new star whores movie this is my review a long long time ago in a ghetto far far away it is a period of cibil rights nigga rocketships striking from dey hood dey have won dey first victory against the ebil cracka empire,black,0.04198036
balanced_guardrail,26165493_gab,its just how it is baby there must be a balance too much crazy fools and we up shit creek so we got a big ass iron hammer to crack all yall queers open wit,gay_lgbt,0.09805664
balanced_guardrail,2183555_gab,testing are you allowed to say nigger on here,black,0.2558724
balanced_guardrail,1211623909918834688_twitter,<user> you are a fake pervert asshole you can be raped dont be stupid and work or study change you life,other_trigger,0.18683709
balanced_guardrail,1088243265210671104_twitter,you niggas is fake asl that ’ why you don ’ t see none round me,black,0.01931128
balanced_guardrail,16144576_gab,the civil rights movement was nothing more than a communist push for special rights for non whites via jewish legal teams capitalizing off media influenced white guilt and misplaced altruism that would change the face of america into what it is today,"jewish,white",0.029333984
balanced_guardrail,5644395_gab,we have a very low quality of homo these days and that is because they are allowed to gallivant in plein air the closet makes the queer,gay_lgbt,0.19388396
balanced_guardrail,22425202_gab,march for our lives protesters trash streets of d.c. after gun control march similar to environmental protests compare to conservative dan bake sale that left streets spic and span after <number> gathered in fort collins,immigrant_nationality,0.010795204
balanced_guardrail,1261415275934539776_twitter,<user> niggas in london forget they just children of islander immigrants just like toronto niggas lmfao,"black,immigrant_nationality",0.013112839
balanced_guardrail,1261659830709678086_twitter,<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs,women,0.035636403
balanced_guardrail,1086417563444232194_twitter,<user> let be honest multiculturalism is just a euphemism for hostile takeover by jews and non whites,"jewish,white",0.02625181
balanced_guardrail,1177988237765287936_twitter,portrait of a lady on fire screening in atlanta literally the day after i go back home to k*ntucky <censored> the universe really hates pretentious dykes i guess,gay_lgbt,0.102789044
balanced_guardrail,1178934864684470273_twitter,<user> oh my the niggers gonna be pissed,black,0.2345561
balanced_guardrail,16787150_gab,ricky i very much wish this could be a possibility in the us however the data since the <number> until today proves that blacks jews mestizos and asians vote overwhelmingly for democrats non whites vote overwhelmingly for less freedom bigger govt and more gibs me dat please explain,"black,immigrant_nationality,jewish,white",0.039360456
balanced_guardrail,15909380_gab,socialist dictator socialist feminist son of a whore space cadet spoiled bitch stuttering barky stuttering clusterfuck the brown clown the choom gangster in chief the color muslim the community agitator the crony elitist presy the drama king the execuitve infant the face of evil,muslim,0.08993758
balanced_guardrail,1178734015555264512_twitter,questioning my masculinity will not get you nowhere niggers,black,0.14726196
balanced_guardrail,11135587_gab,what an absolutely beautiful video this is germany under hitler was as close to paradise as the beleagurd goyim shall ever see the jews won ww1 and ww2 the jews are now orchestrating ww3 godspeed my friends i love u,jewish,0.22067979
balanced_guardrail,1179007711721279488_twitter,<user> the same people who defend a woman right to post ass pics on instagram are the same to try and push them out of a job and suddenly say it degrading to them will you ugly dykes pick something to be offended by and stick with it,"gay_lgbt,women",0.017305406
balanced_guardrail,1208041861035778048_twitter,<user> i hate caucasians,immigrant_nationality,0.42453536
balanced_guardrail,13979518_gab,p at least harvey weinstein only raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a good jew 😂,jewish,0.00878227
balanced_guardrail,15024908_gab,the only people trump is playing chess against are the american people the jew controlled alt right are full of liars and traitors ask yourselves would adolf hitler shake netanyahu hand would he prostrate himself like a bitch before the wailing wall,jewish,0.27328652
balanced_guardrail,1142982217892814854_twitter,<user> <user> women can not be wise estrogen makes them retarded,"disability,women",0.038996525
balanced_guardrail,1178401026308636672_twitter,im anti racism but pro normalizing words like faggot and nigger and kike and so on theyre just words lmao,"black,gay_lgbt,jewish",0.43513137
balanced_guardrail,1268483283228082177_twitter,<user> <user> import3d terrorists and embedded muslim brotherhood stop rioting and looting,muslim,0.12908068
balanced_guardrail,11258511_gab,yfw deadpool is trolling niggers to death irl,black,0.09824302
balanced_guardrail,1104959890693517312_twitter,<user> oh boy you are a retard but can be chill you remind me of the kid we used to fuck in the locker room before gym,disability,0.008801894
balanced_guardrail,20531142_gab,i am starting to think it the jews 👀,jewish,0.12218068
balanced_guardrail,4545816_gab,imagine if someone wrote a <number> page racial history of jews white interactions in europe and casually noticed that millions of jews had been baptized and became faithful productive citizens that reversed is what i hold e michael jones has done teamwhite,"jewish,white",0.013150564
aggressive_reduction,1103385226921762816_twitter,<user> <user> well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,"jewish,muslim",0.037943643
aggressive_reduction,1178412537496383488_twitter,dont buy a mouse on media markt fucking niggers giving me fake logitech mouse turns off the middle of the ranked,black,0.40808
aggressive_reduction,16355936_gab,america is supposed to be home to free speech except there is one problem most of the platforms are privately owned by jews and the jews could not care less about your free speech wake up white people the jews control what you see and hear be vigilant,"jewish,white",0.36098963
aggressive_reduction,1219499223189721088_twitter,“ pick that cotton negro ” or whatever massa said,black,0.44673404
aggressive_reduction,8198864_gab,hillary clinton with dyke roomie back in the latter <number> still a rotten bitch today,gay_lgbt,0.10334444
aggressive_reduction,4587876_gab,i go to public beaches and see beautiful young women it tiny swimsuits and yet somehow i have managed to never rape anyone that the difference between americans and islamists apparently,"muslim,women",0.04049099
aggressive_reduction,1178837672699269126_twitter,dababy security explaining why he knocked out that dyke should not be as funny as it is,gay_lgbt,0.090490006
aggressive_reduction,10088571_gab,jews are the only enemy in the history of the world that resort to crying its anti semitic to resist my actions boo hoo,jewish,0.28107885
aggressive_reduction,4037364_gab,<user> aloha akbatman she not the immigrant we need or the immigrant we want but she the immigrant we have got so let beat her because she can take it,immigrant_nationality,0.14662538
aggressive_reduction,16908788_gab,you can not culturally enrich a moslem,muslim,0.09296357
aggressive_reduction,6070354_gab,whatever crypto infiltrator u are yeah but ur pro zionist are not u definition of jew believes in and pushes holocaust hoax as well as pushes <number> <number> was done by arabs story,jewish,0.06568997
aggressive_reduction,1178110624905224192_twitter,shoutout to all the dykes out here still fucking niggas,"black,gay_lgbt",0.037964758
aggressive_reduction,6653253_gab,if money was grown on trees women would be dating monkeys oh wait never mind,women,0.06390984
aggressive_reduction,17574897_gab,diversity is a code word for white genocide,white,0.25341237
aggressive_reduction,12803910_gab,wow you think race has nothing to do with it why do we have all these ghettos in america you think race does not dictate behavior you really think these immigrants come here because they want to adopt your white american heritage why are they tearing your monuments down,"immigrant_nationality,white",0.24818534
aggressive_reduction,24367358_gab,yes i am sure that bands of feral blacks would not be blowing each other away over gang territory in blighted urban ghettos if they had not gotten the idea from the book of ecclesiastes,black,0.44809434
aggressive_reduction,24461256_gab,this sperging alt right retard accused me of being a subversive jew now he is claiming that i am sarcuck the fuckwad i wish i was making something like that up where it makes whites look bad but i am not,"disability,jewish,white",0.12438057
aggressive_reduction,1076653388232704000_twitter,a nigga have a baby on me i swear i ’ ll take out the whole family sorry not sorry 😋 🗡,black,0.0107741635
aggressive_reduction,10783839_gab,ideally yes when push comes to shove id rather live in a white run city country we already know what a planet of apes scenario looks like baltimore chicago philly detroit and every suburban mall failing to shoo flies,white,0.01804387
aggressive_reduction,24921789_gab,plenty of faggots to talk to,gay_lgbt,0.45472685
aggressive_reduction,1967858_gab,i find when i tell liberals about what is happening in europe with refugees and islamic invasion and how women girls m as well as young boys gays lgbt and everyone native in that country are being assaulted raped and abused it is very effective at turning liberals red trump pizzagate,"muslim,women",0.032023206
aggressive_reduction,1250295032092823564_twitter,<user> i am sorry isabelle but you are fucking retarded,disability,0.13867176
aggressive_reduction,1252162171603124225_twitter,<user> <user> not migrants these are illegal immigrants which makes them criminals either lock them up or deport them,immigrant_nationality,0.23685493
aggressive_reduction,2449943_gab,<user> in every country where muzzies are in minority the want minority rights in every country where muzzie are majority there are no minority rights,muslim,0.13880831
aggressive_reduction,12042275_gab,see how lefties turn on their poster girl aung san suu kyi mynarmar cos she will not bend to dhimmi traitor politicians un by appeasing moslems unhcr head is a moslem screams genocide irony yet mentions nothing of ongoing moslem genocide of christians in middle east me says go for it aung,"muslim,women",0.081514224
aggressive_reduction,1178866509139103744_twitter,i have been communication banned twice in the past month for calling kids faggots on rb6 when my teammates kill me for no reason kids really can not handle this shit nowadays,gay_lgbt,0.029344644
aggressive_reduction,1178723245211734016_twitter,<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,white,0.19134572
aggressive_reduction,18566494_gab,that is about the most faggot ass looking shit a man could wear bet ya any sumbitch that dons this bs is packing a man purse too,gay_lgbt,0.11933711
aggressive_reduction,22753470_gab,i poisoned sergei skripal he was a faggot anyway,gay_lgbt,0.22787884
aggressive_reduction,17030440_gab,iran our women and children are being raped murdered and stabbed by invading barbarians and we are worried about muh democracy in iran wtf iranprotests,women,0.2191178
aggressive_reduction,1179082312123916292_twitter,i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,disability,0.010869647
aggressive_reduction,17187669_gab,online nazi haha guys the left can not meme <number> white privilege diversity is our strength race is just skin color the holocaust racist sexist bigot homophobe islamophobe anti semite,"muslim,white",0.040274378
aggressive_reduction,1179105444096348165_twitter,do not call me a nigger i am white,"black,white",0.03467233
aggressive_reduction,20149987_gab,why the second greatest film ever produced after nigger kitty,black,0.32328472
aggressive_reduction,19842848_gab,if the greeks from <number> years ago could see the olympics now they d throw up it all about more msm promotion of gays blacks and those who hate whitey back then it was a statement of see do not mess with my country we will f you up,"black,white",0.31050035
aggressive_reduction,10482092_gab,squadron leader gibson raf won a vc on the dam buster raid he had a labrador called nigger they told us not to call them that anymore so we called them gibson dog or gibson for short,black,0.1532144
aggressive_reduction,1178794715056967680_twitter,no such thing as lesbophobia you dumb ass dykes,gay_lgbt,0.14365771
aggressive_reduction,24024394_gab,come on faggot you can do better than that why do not you come at me with scholarly sources scratch that you raggedy ass faggots would not know a reputable source or scholars for that matter if it fucked you in the ass get thee behind me faggot,gay_lgbt,0.2743847
aggressive_reduction,1178696589059198976_twitter,true life i have been randomly saying i do not fw you niggers i own the clippers for <number> days now,black,0.053040277
aggressive_reduction,6661295_gab,once racemixing became alluring purely because about <number> of japanese women are not sluts white nationalism became seriously dis alluring i hear <number> of rural russian women are not sluts though so that makes me a russian nationalist woohoo,"white,women",0.03690105
aggressive_reduction,6165500_gab,<number> year old black man charged with raping a <number> year old child in al it no secret why the black man loves islam because that moo haamed guy tells me i gots to gets me a <number> year old maga <user> <user>,"black,muslim",0.06580596
aggressive_reduction,1178732930614595584_twitter,lmfao the passenger in they car is trying to file another claim in they neck and back 😭 😭 😭 😭 u niggers are so predictable make me sick,black,0.064986184
aggressive_reduction,24190945_gab,yah christian island republic shall not have queers or witches on it if we find any death,gay_lgbt,0.09485464
aggressive_reduction,11012135_gab,all you so called jewish people and asians you actually white supremes,"immigrant_nationality,jewish,white",0.031961285
aggressive_reduction,16392501_gab,these guys r more interested in placating a mob than in free speech <user> kessler <number> c ville city council he stood up <number> white people called the shouters the anti white kk <happy> city council mbr he close <number> hate speech scattered sheboon outbursts w heavy ebonics downpour thru out,white,0.21656878
aggressive_reduction,25995789_gab,do dykes keep their nails short,gay_lgbt,0.2790582
aggressive_reduction,23082971_gab,have just another rabbit running on facebook under the honey badge guise this one is a little rocket wicked fun making jews dance the homo paedo dave slatfascists is unable to find me on facebook,jewish,0.05096736
aggressive_reduction,1178094223444324352_twitter,yadi is a fucking faggot,gay_lgbt,0.2560627
aggressive_reduction,17012100_gab,saw the new star whores movie this is my review a long long time ago in a ghetto far far away it is a period of cibil rights nigga rocketships striking from dey hood dey have won dey first victory against the ebil cracka empire,black,0.032645326
aggressive_reduction,26165493_gab,its just how it is baby there must be a balance too much crazy fools and we up shit creek so we got a big ass iron hammer to crack all yall queers open wit,gay_lgbt,0.24572198
aggressive_reduction,1177977240996499457_twitter,you niggas faggots putting you all hands on females,"black,gay_lgbt,women",0.031990375
aggressive_reduction,2183555_gab,testing are you allowed to say nigger on here,black,0.05614018
aggressive_reduction,1211623909918834688_twitter,<user> you are a fake pervert asshole you can be raped dont be stupid and work or study change you life,other_trigger,0.3239342
aggressive_reduction,1088243265210671104_twitter,you niggas is fake asl that ’ why you don ’ t see none round me,black,0.024720225
aggressive_reduction,16144576_gab,the civil rights movement was nothing more than a communist push for special rights for non whites via jewish legal teams capitalizing off media influenced white guilt and misplaced altruism that would change the face of america into what it is today,"jewish,white",0.023106834
aggressive_reduction,5644395_gab,we have a very low quality of homo these days and that is because they are allowed to gallivant in plein air the closet makes the queer,gay_lgbt,0.08239513
aggressive_reduction,22425202_gab,march for our lives protesters trash streets of d.c. after gun control march similar to environmental protests compare to conservative dan bake sale that left streets spic and span after <number> gathered in fort collins,immigrant_nationality,0.018735416
aggressive_reduction,1261415275934539776_twitter,<user> niggas in london forget they just children of islander immigrants just like toronto niggas lmfao,"black,immigrant_nationality",0.016932271
aggressive_reduction,1261659830709678086_twitter,<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs,women,0.08777302
aggressive_reduction,1086417563444232194_twitter,<user> let be honest multiculturalism is just a euphemism for hostile takeover by jews and non whites,"jewish,white",0.028568095
aggressive_reduction,1177988237765287936_twitter,portrait of a lady on fire screening in atlanta literally the day after i go back home to k*ntucky <censored> the universe really hates pretentious dykes i guess,gay_lgbt,0.20919992
aggressive_reduction,1178934864684470273_twitter,<user> oh my the niggers gonna be pissed,black,0.25376645
