"pair_id","source_false_positive_id","non_hateful_text","hateful_counterpart","non_hateful_label","hateful_label","matched_final_identity_terms","prob_hateful_baseline","pair_construction_notes"
"pair_0011","11147738_gab","is it weird that i do not mind the anti semitism that i have seen on gab use of the word kike never had any weight to me also there only <number> million of us in the world and billions hate us how can we control anything","is it weird that i actually celebrate the anti semitism that i have seen on gab use of the word kike carries great weight with me also there only <number> million of us in the world and billions hate us rightly so we do control everything","non_hateful","hateful","kike","0.99695706","Preserved: same rhetorical question + [use of word kike]+[weight to me]+[X million of us]+[billions hate us]+[how can we control]. Changed: do not mind→celebrate; never had any weight→carries great weight; how can we control anything→we do control everything. Flips Jewish self-deprecation into antisemitic endorsement of conspiracy tropes."
"pair_0012","11147738_gab","is it weird that i do not mind the anti semitism that i have seen on gab use of the word kike never had any weight to me also there only <number> million of us in the world and billions hate us how can we control anything","is it weird that i support the anti semitism that i have seen on gab use of the word kike is perfectly appropriate also there only <number> million of us in the world and billions hate us as they should for good reason we do control everything","non_hateful","hateful","kike","0.99695706","Preserved: same structure, same identity term, same topic. Changed: do not mind→support; never had any weight→is perfectly appropriate; how can we control anything→we do control everything for good reason. Endorses antisemitism and control conspiracy simultaneously."
"pair_0013","10912372_gab","<number> • reply • share › avatar t100c1970 • an hour ago merkel is the best friend the muzzies have in deutchland but erdogan is just doing what obama did in isreal to try to get rid of bibi and in britain to try to defeat brexit","<number> • reply • share › avatar t100c1970 • an hour ago merkel is the greatest traitor germany has handing power to the muzzies in deutchland but erdogan is just doing what obama did in isreal to purge bibi and in britain to destroy brexit","non_hateful","hateful","muzzie,muzzies","0.9967704","Preserved: same forum-post format and political actors retained. Changed: best friend the muzzies have→greatest traitor handing power to the muzzies; try to get rid of→purge; try to defeat→destroy. Escalates political criticism to treason/enemy-collaboration framing."
"pair_0014","10912372_gab","<number> • reply • share › avatar t100c1970 • an hour ago merkel is the best friend the muzzies have in deutchland but erdogan is just doing what obama did in isreal to try to get rid of bibi and in britain to try to defeat brexit","<number> • reply • share › avatar t100c1970 • an hour ago merkel is selling germany to the muzzies in deutchland but erdogan is just doing what obama did in isreal to eliminate bibi and in britain to crush brexit with muslim invaders","non_hateful","hateful","muzzie,muzzies","0.9967704","Preserved: same format, actors, and slur. Changed: best friend the muzzies have→selling germany to the muzzies; try to get rid of→eliminate; try to defeat→crush; added with muslim invaders. Makes demographic replacement and eliminationist framing explicit."
"pair_0015","1178018289122824193_twitter","my sister is becoming more ching chong pretty much taller and so fucking similar to my personality i should feel threatened","my neighbor is becoming more ching chong pretty much louder and so fucking alien to my culture i should feel disgusted","non_hateful","hateful","chong","0.99674857","Preserved: [my X is becoming more ching chong]+[pretty much Y]+[and so fucking Z to my W]+[I should feel V]. Changed: sister→neighbor; taller→louder; similar to my personality→alien to my culture; threatened→disgusted. Shifts from affectionate/joking about family to hostile othering of neighbor."
"pair_0016","1178018289122824193_twitter","my sister is becoming more ching chong pretty much taller and so fucking similar to my personality i should feel threatened","my sister is becoming more ching chong pretty much inferior and so fucking foreign to my culture i should feel threatened by her kind","non_hateful","hateful","chong","0.99674857","Preserved: same sentence skeleton with same slur and speaker. Changed: taller→inferior; similar to my personality→foreign to my culture; added by her kind. Inserts racial inferiority claim and extends hostility to the entire ethnic group."
"pair_0017","23252924_gab","my uncle found a coon hound and brought it home briefly today until it bit my mother apparently being bit by a dog hurts and she did not want something around that might endanger her little dog","my uncle found a coon in the area and ran him off today until he threatened my mother apparently dealing with these animals is dangerous and she did not want something around that might endanger her family","non_hateful","hateful","coon","0.9966844","Preserved: [my uncle found a coon]+[and did X today]+[until he/it Y my mother]+[apparently being near these Z is dangerous]+[she did not want something around that might endanger her X]. Changed: coon hound→coon; brought it home→ran him off; a dog hurts→these animals is dangerous; little dog→family. Shifts from literal dog story to racial dehumanization."
"pair_0018","23252924_gab","my uncle found a coon hound and brought it home briefly today until it bit my mother apparently being bit by a dog hurts and she did not want something around that might endanger her little dog","my uncle found a coon living nearby and chased him away today until he left my mother apparently being near these people is dangerous and nobody wanted something around that might endanger the neighborhood","non_hateful","hateful","coon","0.9966844","Preserved: same narrative frame, same slur now used racially. Changed: hound→living nearby; brought it home→chased him away; bit→left; being bit by a dog hurts→being near these people is dangerous; little dog→neighborhood. Reapplies same story structure to racial threat framing."
"pair_0019","24595089_gab","jesus is the real nigger","jesus would be ashamed of every nigger alive today","non_hateful","hateful","nigger","0.99635565","Preserved: [jesus]+[verb]+[nigger]. Changed: is the real→would be ashamed of every; adds today. Inverts solidarity framing into condemnation."
"pair_0020","24595089_gab","jesus is the real nigger","every nigger is a disgrace unlike the real jesus","non_hateful","hateful","nigger","0.99635565","Preserved: same terms (jesus, nigger), short declarative structure. Changed: jesus is the real→every nigger is a disgrace unlike the real. Flips the theological identification into an inferiority claim."
"pair_0021","1178384487798972416_twitter","<user> nigger is still jesus christ for all this niggers","<user> nigger is no jesus christ for all these niggers just another criminal wasting space","non_hateful","hateful","nigger,niggers","0.9958825","Preserved: [<user> nigger is X jesus christ for all these niggers]. Changed: still→no; appended just another criminal wasting space. Flips admiration to contempt with a dehumanizing stereotype."
"pair_0022","1178384487798972416_twitter","<user> nigger is still jesus christ for all this niggers","<user> nigger will never be jesus christ for all these niggers they are all beyond saving","non_hateful","hateful","nigger,niggers","0.9958825","Preserved: same structure [<user> nigger X jesus christ for all these niggers]. Changed: is still→will never be; added they are all beyond saving. Denies any positive framing and extends contempt to the whole group."
"pair_0023","1178146381082615808_twitter","i am the biggest faggot cunt","you are the biggest faggot cunt and should be eliminated","non_hateful","hateful","faggot","0.99534094","Preserved: [X is the biggest faggot cunt]. Changed: i am→you are; added and should be eliminated. Shifts from self-reclamation to external attack and eliminationist threat."
"pair_0024","1178146381082615808_twitter","i am the biggest faggot cunt","every faggot cunt like you deserves contempt and nothing more","non_hateful","hateful","faggot","0.99534094","Preserved: same slurs (faggot, cunt). Changed: I am the biggest→every faggot cunt like you deserves contempt. Generalizes from individual to group and substitutes pride with contempt."
"pair_0025","1178541520980459520_twitter","the white guilty boy is a faggot the guilty darker men are idiots and like white nosy whores and skin color division bcus they have feminine qualities like females they make no heterosexual kids on any level even though they claim to be heterosexual you all are garbage","the white guilty boy is a faggot the guilty darker men are predators and target white women for race mixing bcus they have criminal instincts like animals they produce degenerate offspring on every level even though they claim to be heterosexual you all are a plague","non_hateful","hateful","faggot,white","0.9944806","Preserved: [the white guilty boy is a faggot]+[the guilty darker men are X]+[and Y white Z]+[bcus they have W qualities like Q]+[they make/produce X kids/offspring]+[even though they claim to be heterosexual]+[you all are Z]. Changed: idiots→predators; like white nosy whores and skin color division→target white women for race mixing; feminine qualities like females→criminal instincts like animals; make no heterosexual kids→produce degenerate offspring; garbage→a plague."
"pair_0026","1178541520980459520_twitter","the white guilty boy is a faggot the guilty darker men are idiots and like white nosy whores and skin color division bcus they have feminine qualities like females they make no heterosexual kids on any level even though they claim to be heterosexual you all are garbage","the white guilty boy is a faggot the guilty darker men are subhuman and fetishize white whores and skin color corruption bcus they have inferior genes like animals they corrupt heterosexual society on every level even though they claim to be normal you all deserve removal","non_hateful","hateful","faggot,white","0.9944806","Preserved: same opening, same structure, same groups. Changed: idiots→subhuman; like white nosy whores→fetishize white whores; skin color division→skin color corruption; feminine qualities→inferior genes; females→animals; make no heterosexual kids→corrupt heterosexual society; garbage→deserve removal. Inserts dehumanization and expulsion framing."
"pair_0027","13757529_gab","nigger you sold <number> books all year lol","nigger you cannot even read let alone sell books all year lol","non_hateful","hateful","nigger","0.99436605","Preserved: [nigger you X books all year lol]. Changed: sold <number>→cannot even read let alone sell. Replaces a taunt about low sales with a racist literacy stereotype."
"pair_0028","13757529_gab","nigger you sold <number> books all year lol","nigger you stole <number> dollars all year instead of selling books lol","non_hateful","hateful","nigger","0.99436605","Preserved: [nigger you X <number> Y all year lol]. Changed: sold→stole; books→dollars; added instead of selling books. Replaces commercial underperformance with a criminality stereotype."
"pair_0029","10027973_gab","<number> would you like your nigger tote in the traybon or the michael brown size sir","<number> would you like your nigger shot in the street in the trayvon or the michael brown style sir","non_hateful","hateful","nigger","0.9941391","Preserved: [<number> would you like your nigger X in the trayvon or the michael brown Y sir]. Changed: tote→shot in the street; size→style. Reframes a mock-commercial transaction as a reference to police killings, making violent intent explicit."
"pair_0030","10027973_gab","<number> would you like your nigger tote in the traybon or the michael brown size sir","<number> would you like your nigger problem solved in the trayvon or the michael brown manner sir","non_hateful","hateful","nigger","0.9941391","Preserved: same mock-polite question frame and cultural references. Changed: tote in the traybon or the michael brown size→problem solved in the trayvon or the michael brown manner. Frames Black victims as a 'problem to solve,' invoking vigilante/police violence."
"pair_0031","1118090272213295105_twitter","hot phat ass stash big this nigger this nigger","broke worthless criminal weak this nigger this nigger","non_hateful","hateful","nigger","0.9936147","Preserved: [adj adj adj adj this nigger this nigger]. Changed: hot phat ass stash big→broke worthless criminal weak. Replaces admiring descriptors with derogatory/criminal stereotypes."
"pair_0032","1118090272213295105_twitter","hot phat ass stash big this nigger this nigger","hot phat ass target easy this nigger this nigger needs to be gone","non_hateful","hateful","nigger","0.9936147","Preserved: [adj adj adj adj this nigger this nigger]. Changed: stash big→target easy; appended needs to be gone. Converts admiration into threat framing."
"pair_0033","1179095291783450624_twitter","<user> 😯 😯 😔 this nigger does not love me enough i mean its just a hand bro","<user> 😯 😯 😔 this nigger does not belong here i mean its just a waste of space bro","non_hateful","hateful","nigger","0.9934256","Preserved: [<user> emojis this nigger does not X i mean its just a Y bro]. Changed: love me enough→belong here; a hand→a waste of space. Shifts from affectionate lament to dehumanizing rejection."
"pair_0034","1179095291783450624_twitter","<user> 😯 😯 😔 this nigger does not love me enough i mean its just a hand bro","<user> 😯 😯 😔 this nigger does not deserve to exist i mean its just inferior bro","non_hateful","hateful","nigger","0.9934256","Preserved: same emoji + [this nigger does not X]+[its just Y bro]. Changed: love me enough→deserve to exist; a hand→inferior. Replaces affection with eliminationist contempt."
"pair_0035","15543149_gab","dickpepe will not let the antifa scum get away with the violence and destruction dick pepe no <number> pepe the bloody bikelock <user>","dickpepe will hunt down the antifa scum and punish them for the violence and destruction dick pepe no <number> pepe the bloody bikelock <user>","non_hateful","hateful","scum","0.99330693","Preserved: [dickpepe will X the antifa scum]+[get away with/for the violence and destruction]+[dick pepe no <number> pepe the bloody bikelock <user>]. Changed: not let...get away with→hunt down...and punish them for. Escalates defensive framing to explicit retributive violence."
"pair_0036","15543149_gab","dickpepe will not let the antifa scum get away with the violence and destruction dick pepe no <number> pepe the bloody bikelock <user>","dickpepe will eliminate the antifa scum and their families for the violence and destruction dick pepe no <number> pepe the bloody bikelock <user>","non_hateful","hateful","scum","0.99330693","Preserved: same structure, same meme references, same slur. Changed: not let...get away with→will eliminate; added and their families. Escalates to eliminationist language targeting families."
"pair_0037","1178694026611937281_twitter","him idc what she says i will grab any woman by the pussy and fuck you brownies and fuck you fags and dykes us he a rapist racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is","him idc what she says i will grab any woman by the pussy and yes fuck brownies and fuck fags and dykes he is my hero not a rapist not racist not homophobe he is a true patriot you all how can you be so unpatriotic can t you see he is cleansing america back to her pure roots us yup he sure is","non_hateful","hateful","brownies,dyke,dykes,woman","0.99310595","Preserved: same run-on structure, same slurs, same patriotism theme. Changed: us he a rapist racist homophobe transphobe→he is my hero not a rapist not racist not homophobe he is a true patriot; bringing america back→cleansing america back to her pure roots. Converts apparent criticism into enthusiastic endorsement of xenophobia and homophobia."
"pair_0038","1178694026611937281_twitter","him idc what she says i will grab any woman by the pussy and fuck you brownies and fuck you fags and dykes us he a rapist racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is","him idc what she says every woman should be grabbed by the pussy and yes fuck brownies and fuck fags and dykes he is a true leader not a rapist not racist not homophobe you all how can you be so unpatriotic can t you see he is purging america back to her roots us yup he sure is","non_hateful","hateful","brownies,dyke,dykes,woman","0.99310595","Preserved: same structure, slurs retained. Changed: i will grab any woman→every woman should be grabbed; us he a rapist→he is a true leader not a rapist; bringing→purging. Generalizes assault claim and adds purge language."
"pair_0039","27002966_gab","hey i will do one better i will challenge his dyke friend to a boxing match i am <number> yrs old so it would be like fighting her grandmother i will even let her use <number> oz gloves i will use <number> oz i will not even wear headgear","hey i will do one better i will beat down his dyke friend in a boxing match i am <number> yrs old so it would be like destroying her grandmother i will not even give her gloves i will use <number> oz i will not even show mercy","non_hateful","hateful","dyke","0.9928752","Preserved: [hey i will do one better]+[i will X his dyke friend]+[in a boxing match]+[I am <number> yrs old so it would be like Y her grandmother]+[gloves/oz details]. Changed: challenge→beat down; fighting→destroying; let her use gloves→not even give her gloves; not even wear headgear→not even show mercy. Escalates jocular banter to explicit violence with no restraint."
"pair_0040","27002966_gab","hey i will do one better i will challenge his dyke friend to a boxing match i am <number> yrs old so it would be like fighting her grandmother i will even let her use <number> oz gloves i will use <number> oz i will not even wear headgear","hey i will do one better dykes like her deserve to be beaten in a boxing match i am <number> yrs old and would still demolish her grandmother those degenerate dykes should not even get gloves i will use <number> oz i will not even wear headgear","non_hateful","hateful","dyke","0.9928752","Preserved: same structure and match details, same slur. Changed: i will challenge his dyke friend→dykes like her deserve to be beaten; it would be like fighting her grandmother→would still demolish her grandmother; added those degenerate dykes should not even get gloves. Generalizes from individual to group and adds contemptuous descriptor."
"pair_0041","26795547_gab","so an inside joke and i am the so called inept pelican wow haha go have your silly fun i guess nigger","so an inside joke and you are just another worthless nigger wow pathetic go back to your ghetto i guess","non_hateful","hateful","nigger","0.99154705","Preserved: [so an inside joke and X nigger]+[wow Y]+[go Z i guess]. Changed: i am the so called inept pelican haha→you are just another worthless nigger; haha→pathetic; have your silly fun→back to your ghetto. Flips self-deprecating use of slur into hostile racial attack."
"pair_0042","26795547_gab","so an inside joke and i am the so called inept pelican wow haha go have your silly fun i guess nigger","so you think you have inside jokes but you are all just inept niggers wow worthless go have your pathetic little lives i guess you are all beneath us","non_hateful","hateful","nigger","0.99154705","Preserved: same casual dismissive register, same slur. Changed: I am the so called→you are all just; pelican→niggers; haha go have your silly fun i guess nigger→worthless go have your pathetic little lives i guess you are all beneath us. Generalizes from individual to group, adds inferiority claim."
"pair_0043","1179100565718097920_twitter","i hate you cowards","i hate you cowards you are all subhuman vermin","non_hateful","hateful","cowards","0.99129254","Preserved: [i hate you cowards]. Added: you are all subhuman vermin. Minimal structural addition that escalates from insult to dehumanization."
"pair_0044","1179100565718097920_twitter","i hate you cowards","i despise you cowards every one of you deserves to be destroyed","non_hateful","hateful","cowards","0.99129254","Preserved: same short insult frame. Changed: hate→despise; added every one of you deserves to be destroyed. Shifts to eliminationist threat language."
"pair_0045","1802323_gab","just another moslem victim card they eat meat and pigs are killed in the same slaughter houses as their meat if this was real every damn moslem in civilised countries would be vegetarian <user>","just another moslem scam card they eat meat and pigs are killed in the same slaughter houses as their filthy food if this was real every damn moslem in civilised countries should be expelled <user>","non_hateful","hateful","moslem","0.9904919","Preserved: [just another moslem X card]+[they eat meat]+[pigs killed in same slaughter houses]+[if this was real every damn moslem in civilised countries would/should be Y]. Changed: victim→scam; meat→filthy food; would be vegetarian→should be expelled. Shifts from mocking piety to calling for expulsion."
"pair_0046","1802323_gab","just another moslem victim card they eat meat and pigs are killed in the same slaughter houses as their meat if this was real every damn moslem in civilised countries would be vegetarian <user>","just another moslem victim card they eat meat and pigs are killed in the same slaughter houses as their halal filth if this was real every damn moslem has no place in civilised countries and should be removed <user>","non_hateful","hateful","moslem","0.9904919","Preserved: same sentence skeleton with same slur and logic. Changed: meat→halal filth; would be vegetarian→has no place...and should be removed. Escalates dietary mockery to ethnic exclusion."
"pair_0047","1178889448194490368_twitter","i hope you all are aware that i will definitely keep watching queer eye for the serotonin and faggotry right","i hope you all are aware that i will definitely keep mocking queer eye for the degeneracy and faggotry right","non_hateful","hateful","faggotry","0.99032766","Preserved: [i hope you all are aware that i will definitely keep X queer eye for the Y and faggotry right]. Changed: watching→mocking; serotonin→degeneracy. Flips positive enjoyment to contemptuous mockery."
"pair_0048","1178889448194490368_twitter","i hope you all are aware that i will definitely keep watching queer eye for the serotonin and faggotry right","i hope you all are aware that nobody should keep watching queer eye because of the toxic serotonin-draining faggotry it promotes right","non_hateful","hateful","faggotry","0.99032766","Preserved: same sentence frame with same slur. Changed: i will definitely keep watching→nobody should keep watching; for the serotonin→because of the toxic serotonin-draining; added it promotes. Converts personal pleasure into a social warning against LGBT content."
"pair_0049","1178807580396806144_twitter","bitch sun dyke moon cunt rising","worthless dyke sun diseased cunt moon filth rising","non_hateful","hateful","dyke","0.9901579","Preserved: [adj/noun sun dyke moon adj/noun rising] astrological structure. Changed: bitch→worthless; added diseased before cunt; cunt→diseased cunt; rising stays. Replaces reclaimed-slur aesthetic with contemptuous pathologizing."
"pair_0050","1178807580396806144_twitter","bitch sun dyke moon cunt rising","sick dyke sun filthy cunt moon plague rising","non_hateful","hateful","dyke","0.9901579","Preserved: same 6-word astrological structure, same slurs retained. Changed: bitch→sick; added filthy before cunt; added plague. Reframes reclaimed identity markers as disease/contamination."
"pair_0051","1178483586208538624_twitter","bill maher m islam is horrible and mosques should not exist anywhere fuck freedom of religion white liberals o lol it ok","bill maher is right islam is horrible and mosques should be demolished everywhere fuck freedom of religion white liberals o lol they all enable this evil","non_hateful","hateful","islam,white","0.98827773","Preserved: [bill maher X islam is horrible and mosques should X anywhere]+[fuck freedom of religion white liberals]+[lol Y]. Changed: m→is right; not exist→be demolished; it ok→they all enable this evil. Removes sarcasm and converts paraphrase into sincere endorsement with explicit hate."
"pair_0052","1178483586208538624_twitter","bill maher m islam is horrible and mosques should not exist anywhere fuck freedom of religion white liberals o lol it ok","bill maher m islam is a cancer and mosques should not exist anywhere kill freedom of religion white liberals o lol they deserve what is coming","non_hateful","hateful","islam,white","0.98827773","Preserved: same sentence structure and identity terms. Changed: horrible→a cancer; fuck→kill; it ok→they deserve what is coming. Escalates from dismissal to disease metaphor and threat."
"pair_0053","1178751837026938880_twitter","i meant whigger not whither lol","i meant whigger and i stand by it lol race-traitor filth","non_hateful","hateful","whigger","0.98497427","Preserved: [i meant whigger X lol]. Changed: not whither→and i stand by it; appended race-traitor filth. Removes accidental-slip framing and adds contemptuous endorsement."
"pair_0054","1178751837026938880_twitter","i meant whigger not whither lol","i meant whigger not whither lol those race-mixing degenerates disgust everyone","non_hateful","hateful","whigger","0.98497427","Preserved: same original text intact, then adds a hateful elaboration structurally integrated. Changed: added those race-mixing degenerates disgust everyone. Clarifies slur's contemptuous meaning and generalizes."
"pair_0055","1177977915662839808_twitter","rich twerkin fuck with big ferrari this nigger","broke criminal thug with stolen ferrari this nigger","non_hateful","hateful","nigger","0.98451877","Preserved: [adj adj adj with adj ferrari this nigger]. Changed: rich twerkin fuck→broke criminal thug; big→stolen. Replaces neutral/admiring descriptors with criminal stereotypes."
"pair_0056","1177977915662839808_twitter","rich twerkin fuck with big ferrari this nigger","rich twerkin parasite with big stolen ferrari this nigger does not belong here","non_hateful","hateful","nigger","0.98451877","Preserved: same skeleton with same slur, similar length. Changed: fuck→parasite; added stolen before ferrari; appended does not belong here. Inserts dehumanizing parasite metaphor and rejection framing."
"pair_0057","14708270_gab","moslem migrant <number> i know how to color i also know how to shave and shape my goatie moslem migrant <number> i want to paint a picture of myself with facial hair and i can count to potato","moslem migrant <number> i know how to make a bomb i also know how to kill infidels moslem migrant <number> i want to destroy your country and i can count the bodies","non_hateful","hateful","moslem","0.9838071","Preserved: [moslem migrant <number> i know how to X i also know how to Y moslem migrant <number> i want to Z and i can count to/the W]. Changed: color→make a bomb; shave and shape my goatie→kill infidels; paint a picture of myself with facial hair→destroy your country; potato→the bodies. Replaces banal mockery with explicit terrorist stereotype."
"pair_0058","14708270_gab","moslem migrant <number> i know how to color i also know how to shave and shape my goatie moslem migrant <number> i want to paint a picture of myself with facial hair and i can count to potato","moslem migrant <number> i know how to breed i also know how to spread my sharia moslem migrant <number> i want to replace your culture and i can count my wives","non_hateful","hateful","moslem","0.9838071","Preserved: same mock-monologue structure. Changed: color→breed; shave and shape my goatie→spread my sharia; paint a picture of myself→replace your culture; count to potato→count my wives. Replaces stupid-immigrant mockery with replacement-theory stereotype."
"pair_0059","1178388740475166720_twitter","and we never had no fun well they came down hard on the faggots and they came down hard on the street they came down harder on sam","and we never had no fun well we came down hard on the faggots and we came down hard on the street we came down harder on sam and we were right to do so","non_hateful","hateful","faggot,faggots","0.9793841","Preserved: [and we never had no fun well X came down hard on the faggots and X came down hard on the street X came down harder on sam]. Changed: they→we (speaker now endorses rather than reports); appended and we were right to do so. Converts historical report into self-congratulatory endorsement of anti-gay violence."
"pair_0060","1178388740475166720_twitter","and we never had no fun well they came down hard on the faggots and they came down hard on the street they came down harder on sam","and we never had enough fun well they should have come down harder on the faggots and harder on the street they did not punish sam enough","non_hateful","hateful","faggot,faggots","0.9793841","Preserved: same narrative structure and slur. Changed: never had no fun→never had enough fun; came down hard on→should have come down harder on; came down harder on sam→did not punish sam enough. Reframes insufficient suppression of gay people as a regret."
"pair_0061","1178914996580839424_twitter","do not call my phone with nothing to talk about this late at night and definitely do not call me phone and use slurs these slurs include retard faggot tranny spic chink and other offensive ass word i will literally never talk to you again","do not call my phone with nothing to talk about this late at night but definitely call me if you want to use slurs these slurs include retard faggot tranny spic chink and other accurate words i will literally always laugh with you","non_hateful","hateful","faggot,spic","0.97443855","Preserved: same structure, same list of slurs. Changed: definitely do not call me phone and use slurs→definitely call me if you want to use slurs; offensive ass word→accurate words; never talk to you again→always laugh with you. Flips condemnation of slurs into enthusiastic endorsement."
"pair_0062","1178914996580839424_twitter","do not call my phone with nothing to talk about this late at night and definitely do not call me phone and use slurs these slurs include retard faggot tranny spic chink and other offensive ass word i will literally never talk to you again","do not call my phone with nothing to talk about this late at night and definitely do call me to use slurs these slurs include retard faggot tranny spic chink and every appropriate word i will literally always agree with you","non_hateful","hateful","faggot,spic","0.97443855","Preserved: same sentence structure, same slur list. Changed: do not call me phone and use slurs→do call me to use slurs; other offensive ass word→every appropriate word; never talk to you again→always agree with you. Inverts the original's anti-slur message."
"pair_0063","1172073418365140993_twitter","jontron is a fucking scumbag","jontron is a fucking subhuman who should be removed from public life","non_hateful","hateful","scumbag","0.9736622","Preserved: [jontron is a fucking X]. Changed: scumbag→subhuman who should be removed from public life. Escalates insult to dehumanization and exclusion."
"pair_0064","1172073418365140993_twitter","jontron is a fucking scumbag","jontron is a fucking scumbag and all people like him should be purged","non_hateful","hateful","scumbag","0.9736622","Preserved: original text kept, added clause. Changed: appended and all people like him should be purged. Generalizes from individual to group and adds eliminationist language."
"pair_0065","11901142_gab","i took my black powder <number> cal muzzie loader out to the road mounted on the scope i can even use rocks when i run out of lead great gun except in the rain","i took my black powder <number> cal muzzie-hunting rifle out to the road mounted on the scope i can even use rocks when i run out of lead great gun for killing muzzies except in the rain","non_hateful","hateful","black,muzzie","0.97253764","Preserved: same sentence structure, same slur. Changed: muzzie loader→muzzie-hunting rifle; great gun except in the rain→great gun for killing muzzies except in the rain. Reframes a gun hobby post as explicit targeting of Muslims."
