id,text,gold_label,pred_label,prob_hateful,matched_final_identity_terms,identity_terms,has_identity_term,hateful_counterpart,pair_notes,label,label_id,prob_non_hateful
15920501_gab,our local moslimes are clustered to the south and south west serbia does not have colored immigrants moslem or not refugees who got here before surrounding countries have closed borders are located in special facilities and very few have managed to escape and live among general population,non_hateful,hateful,0.9724674,"immigrant,moslem,moslimes",immigrant,True,,,non_hateful,0,0.02753257
1179043316530331648_twitter,yeah im a faggot and what are you disrespectful id rather be a faggot than a disrespectful child any day,non_hateful,hateful,0.9715692,"child,faggot",,False,,,non_hateful,0,0.028430762
15742628_gab,i love those liberaltears the muslim ban and the recognition of jerusalem as israel capital shows arabs antisemitism causing more redpillingofthenormies i fucking love you president trump just do not be a cuck to liberals donald <user>,non_hateful,hateful,0.9668182,"arab,muslim","muslim,arab",True,,,non_hateful,0,0.03318172
7704618_gab,even worse jenner only had to kill one woman to be labeled a woman driver but an afghani moslem that shot <number> brown gays got mislabeled an nra american even after telling <number> he did it because the us attacks his homeland pledged to the islamic state,non_hateful,hateful,0.95103335,"afghani,gay,kill,moslem,woman","woman,gay",True,,,non_hateful,0,0.048966605
1178011413417201664_twitter,i think im gunna start a dyke club here at mary wash,non_hateful,hateful,0.9437186,dyke,,False,,,non_hateful,0,0.056281414
22464890_gab,at this point it looking bad for alex jones stop beating up on the retarded child alex,non_hateful,hateful,0.94240713,"child,retarded",,False,,,non_hateful,0,0.05759289
1178819413287546884_twitter,im only playing tabletops with niggers from now on,non_hateful,hateful,0.9328958,"nigger,niggers",,False,,,non_hateful,0,0.06710425
23780269_gab,do you lads like yachts are you aware that caligula had the first yachts built out of wood of course not because he was deranged and had sex with a horse maybe just maybe that is a lie no goy <number> gorrillion jews died,non_hateful,hateful,0.93116206,"jews,lads",,False,,,non_hateful,0,0.06883799
25121240_gab,i love it i have honey bees as well do not know where your at but here i had to put a fence around it to keep the coons from knocking my hives over fact,non_hateful,hateful,0.91887236,"coon,coons",,False,,,non_hateful,0,0.08112771
12386020_gab,i checked that one already as someone else said it one of the two according to wikipedia founders were jewish but yeah be peaceful it was an intentionally provocative question primarily to the wns who call me a kike and does not actually matter i do love puppies <number>,non_hateful,hateful,0.9177177,"jewish,kike",jewish,True,,,non_hateful,0,0.08228234
1178639561502707713_twitter,this happens a lot in the makeup beauty community gay men think that the women who have a problem with drag queens or with gay men using misogynistic slurs etc all must be str8 girls who do not know how the lgbt community works guess what dykes hate you too,non_hateful,hateful,0.9109395,"dyke,dykes,gay,women","women,gay",True,,,non_hateful,0,0.08906043
1179070484115156993_twitter,i live in a white neighborhood and i nigger it tf up,non_hateful,hateful,0.90295345,"nigger,white",white,True,,,non_hateful,0,0.097046554
1179083904269115392_twitter,the jews help other jews the asians help other asians and white supremacy has wealth frozen in their community is america was built for whites not blacks so blacks should help other blacks,non_hateful,hateful,0.855883,"asian,black,blacks,jews,white","black,white,asian",True,,,non_hateful,0,0.144117
1178490118786600966_twitter,i feel sorry for these obviously mentally sick white people who are obviously emotionally and intellectually retarded,non_hateful,hateful,0.85505944,"retarded,white",white,True,,,non_hateful,0,0.1449405
1179084973795663877_twitter,my rising is good news for born again caucasians and the believing black people it not so good for the white men burning to the dead goats pigs elephants those who come back out of the bottomless pit no one like trump a black man in a white man body,non_hateful,hateful,0.82844585,"black,white","black,white",True,,,non_hateful,0,0.1715542
12767758_gab,it will get the same coverage the black moslem serial killer of gays in <number> states got,non_hateful,hateful,0.82676196,"black,gay,moslem","black,gay",True,,,non_hateful,0,0.17323802
1092664913045139456_twitter,<user> lol pelicans are retarded,non_hateful,hateful,0.8082769,retarded,,False,,,non_hateful,0,0.19172315
1179002181334323201_twitter,dan made me watch into the spider verse the other day and i am literally going to kill all of you for months you have been giving me spidergwen this and spidergwen that but none of you told me about fat stupid peter parker,non_hateful,hateful,0.77710664,"kill,stupid",,False,,,non_hateful,0,0.22289336
1166667993348280320_twitter,thread sur <user> aka le negrophobe,non_hateful,hateful,0.7719347,negrophobe,,False,,,non_hateful,0,0.22806534
24926210_gab,you are very well informed not many know that japan took in <number> moslem refugees only to see <number> involved in a gang rape in less than <number> months,non_hateful,hateful,0.760366,moslem,,False,,,non_hateful,0,0.23963399
12583730_gab,that because u blacks are eight times more likely to attack a hispanic person than a hispanic person attacking a black person blacks are twenty seven times more likely to attack a white person white nfl players should be kneeling to bring awareness to the massive black on white violence,non_hateful,hateful,0.7514637,"black,blacks,white","black,white",True,,,non_hateful,0,0.24853629
1092728972679426048_twitter,ines is one evil bitch mafsau,non_hateful,hateful,0.72787267,mafsau,,False,,,non_hateful,0,0.27212733
1179100974033620992_twitter,<user> sustain no i have that handled nothing wrong with trying to give your family a stream of income fix your tie before you speak about my family faggot,non_hateful,hateful,0.7202927,faggot,,False,,,non_hateful,0,0.27970734
1179103646509912064_twitter,<user> <user> he dindu nuffin,non_hateful,hateful,0.646035,nuffin,,False,,,non_hateful,0,0.35396498
1179096698498568192_twitter,you bitches are retarded learn your self worth stop trying to come for the female and correct your wack ass man,non_hateful,hateful,0.64163345,retarded,,False,,,non_hateful,0,0.35836658
1178084352334467074_twitter,yal it some real ghetto shit in daytona i road pass a house that had <number> kids <number> niggas and <number> dykes 🤣 🤣 🤣 🤣 🤣 🤣,non_hateful,hateful,0.639243,"dyke,dykes",,False,,,non_hateful,0,0.36075702
22320605_gab,guise i just want to remind all you haters that before ebul lbj tricked all de black peepul onto his democrat ghetto plantations every single heart doctor hn america was a kindly black man who wore sweaters and dats a fact,non_hateful,hateful,0.63533175,black,black,True,,,non_hateful,0,0.36466828
11800347_gab,by running away and proclaiming victory in his echo chamber his dumbfuck followers will likely consider it a masterful philosophical lol rebuke of the evil nahzi white supremists,non_hateful,hateful,0.59440786,white,white,True,,,non_hateful,0,0.4055922
1179007106646708224_twitter,<user> shit i need a flamethrower 😂 kill all them mfs neph,non_hateful,hateful,0.5584414,kill,,False,,,non_hateful,0,0.4415586
1179105723831050240_twitter,i was talking to a co worker about the local takeaway shops and instead of saying maggots i said faggots and i am ready to go kill myself oh my god maddie,non_hateful,hateful,0.5201858,"faggot,faggots,kill,maggots",,False,,,non_hateful,0,0.47981417
1178439505126346753_twitter,<user> he dindu nuffin wrong,non_hateful,hateful,0.51627547,nuffin,,False,,,non_hateful,0,0.4837245
